Zeit,Tempa,Tempb,Tempc,KMD1,KMD2,KMD1kompensiert,KMD2kompensiert,Temperatur aussen,EH11,EV12,EH21,EV22,EV32,EV33,W12,W22,VH31,W32,W11,W21,EH31,Zeit_timestamp,EH13,EH22,EH32,EH33,EV11,EV31,VH12,VH13,VH22,VH32,VH33,W13,W23,W33
2021-12-05,10.708265416666668,6.770512083333333,,,,,,2.194236111111111,-26.986970307345928,607.5798790380231,-703.5162745288667,-525.1693077553427,-720.6476663979665,-924.2897140426912,1237.2566721423386,-536.7683185550886,-1576.638041573296,-3671.3967455970524,-45.70033407522715,-157.18281753113888,-1153.458418382872,1638662400.0,,574.7719298245611,491.6447368421059,310.1315789473683,-308.9956140350878,352.16228070175384,-158.53070175438552,-342.24122807017557,-787.6535087719299,-1101.429824561404,373.83333333333394,-135.05263157894797,,465.1491228070172
2021-12-12,11.586697380952382,6.2206746428571424,,,,,,0.8875793650793652,-27.667777291472703,606.0937801888172,-703.0847543899781,-534.79085598947,-731.2350985011408,-936.8095250347542,931.0198665074178,-537.8142509360409,-1564.7079909780582,-3549.9598580970523,-54.90388810300465,-269.9439484239956,-1162.069829811444,1639267200.0,,554.1403508771928,505.2763157894742,312.34210526315746,-300.5219298245611,357.68859649122805,-147.8464912280706,-360.2938596491226,-790.2324561403507,-1091.8508771929824,387.83333333333394,-124.73684210526335,,473.2543859649122
2021-12-19,11.754283928571429,5.5205738095238095,,,,,,0.6590277777777778,-23.66610780734527,609.3840574904038,-701.2720893502956,-531.3733493624854,-726.0771873503472,-928.7458516617385,631.7118209518625,-535.3305883169933,-1599.247583954249,-3275.1610258351466,-39.66851306332228,-353.3380184239959,-1166.4199725495387,1639872000.0,,533.5087719298244,518.9078947368425,314.5526315789475,-292.0482456140344,363.21491228070136,-137.16228070175475,-378.34649122807014,-792.8114035087724,-1082.2719298245615,401.83333333333394,-114.42105263157919,,481.35964912280724
2021-12-26,11.700520000000001,5.3454619999999995,,,,,,-0.794951048951049,-22.45604299071738,610.3893001572928,-699.4627473822075,-526.9670940581791,-720.1232998773758,-922.3869609607173,692.0467178874823,-538.5990125411026,-1600.1847356339026,-3196.559758490992,-37.888438205957755,-449.24624990584744,-1167.7199364621265,1640476800.0,,520.3999999999996,518.937037037037,306.9351851851852,-314.65185185185146,357.26111111111095,-140.70740740740712,-432.4981481481482,-808.2222222222222,-1094.7259259259258,396.97407407407445,-117.6685185185188,536.5999999999999,478.53333333333376
2022-01-02,,,,,,,,,,,,,,,,,,,,,,1641081600.0,,509.1999999999998,515.5148148148155,296.8240740740739,-345.1407407407405,348.39444444444416,-147.86296296296314,-495.8092592592593,-826.8888888888891,-1112.7703703703705,387.3296296296303,-124.35740740740766,519.8000000000002,472.9333333333334
2022-01-09,,,,,,,,,,,,,,,,,,,,,,1641686400.0,,498.0,512.0925925925931,286.7129629629626,-375.62962962962956,339.5277777777774,-155.01851851851825,-559.1203703703704,-845.5555555555561,-1130.8148148148152,377.6851851851852,-131.04629629629653,503.0,467.33333333333303
2022-01-16,,,,,,,,,,,,,,,,,,,,,,1642291200.0,,486.7999999999993,508.6703703703706,276.6018518518522,-406.1185185185186,330.6611111111106,-162.17407407407427,-622.4314814814816,-864.2222222222222,-1148.859259259259,368.04074074074106,-137.73518518518495,486.1999999999998,461.7333333333336
2022-01-23,,,,,,,,,,,,,,,,,,,,,,1642896000.0,,475.59999999999945,505.2481481481482,266.4907407407409,-436.60740740740675,321.7944444444438,-169.32962962962938,-685.7425925925927,-882.8888888888891,-1166.9037037037037,358.3962962962969,-144.42407407407381,469.4000000000001,456.1333333333332
2022-01-30,,,,,,,,,,,,,,,,,,,,,,1643500800.0,,464.39999999999964,501.82592592592664,256.37962962962956,-467.0962962962958,312.9277777777779,-176.4851851851854,-749.0537037037038,-901.5555555555561,-1184.9481481481484,348.7518518518518,-151.11296296296268,452.5999999999999,450.53333333333376
2022-02-06,9.611843604651163,4.493088720930232,4.4374444186046516,,,,,4.011802325581395,-2.5941551200071444,643.0482006336301,-797.1887400359724,-816.7920612404846,-702.8130089819451,-920.5492917881693,1779.7268377495739,-648.1970065783448,-1361.5905729298856,-3439.5730583683726,-3.4712947761313444,-362.0620708547822,-1198.239958305353,1644105600.0,79.91666666666652,500.3888888888887,486.31944444444434,194.02777777777737,-685.25,268.1527777777774,-179.70833333333303,-844.1111111111113,-922.3750000000005,-1231.6388888888891,357.30555555555566,-157.48611111111086,442.8611111111113,422.45833333333303
